,productname,prices,Color
502,"TRIGGR Apex S2 2025, Dual Pairing, 60H Battery, Preset ...",₹799,"Tiffany Green, True Wireless"
503,Samsung Galaxy Buds 3 Pro Bluetooth,"₹16,499","Silver, In the Ear"
504,"REDMI Buds 5C with 40dB Hybrid ANC, Quad-Mic AI Calling...","₹1,799","Symphony Blue, True Wireless"
505,"Portronics Harmonics Twins S16 in Ear Earbuds With Mic,...",₹699,"Beige, In the Ear"
506,"boAt Rockerz 480 w/ Beast Mode, RGB LEDs(6 Light Modes)...","₹1,799","Black Sabre, On the Ear"
507,j&b Bullets Wireless B2 Premium Neckband With 50Hrs Pla...,₹299,"Black, In the Ear"
508,SONY ZX110A Wired without Mic,₹768,"White, In the Ear"
509,"ZEBRONICS ZEB-BRO, With In-Line MiC, 3.5mm Jack, 10mm d...",₹166,"White, In the Ear"
510,"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹799,"Army Green, True Wireless"
511,Aroma NB119 Titanium - 48 Hours Playtime Neckband Bluet...,₹499,"Green, In the Ear"
512,"GOBOULT Astra with Quad Mic ENC, 48Hrs Battery, Made in...","₹1,199","Smoky Metal, True Wireless"
513,"JBL Wave Beam 2 ANC Earbuds with BTv5.3,Multi Connect,F...","₹3,499","Blue, In the Ear"
514,"Mivi Duopods Horizon [New Launch], AI-ENC, 60 Hrs, 13mm...",₹699,"Midnight Black, True Wireless"
515,"Noise Buds N2 Pro (New Launch) with 70H Playtime, 32dB ...","₹1,799","Desert Gold, True Wireless"
516,"GOBOULT Fluid X 60Hrs, 40mm Drivers, Foldable design, E...","₹1,999","White, On the Ear"
517,"Aroma NB120 Amaze Upto 50 Hours Playtime*, Fast Chargin...",₹300,"Booming Red, In the Ear"
518,"Soundcore by Anker Space One, 40H ANC Playtime, LDAC Hi...","₹6,599","Blue, On the Ear"
519,Caidea TW101 Earth 32dB Active Noise Cancellation 60Hrs...,₹375,"Acoustic Black, True Wireless"
